,S_No,Sentence,Negative_Sentiment_Score,Positive_Sentiment_Score,Neutral_Sentiment_Score,COMPOUND_SCORE
13427,13428,And Tom Cruise is beautiful....,0.0,0.0,1.0,0.0
13428,13429,"I love Super Mario, and I love MIT hacks.",0.0,0.755,0.245,0.9231
13429,13430,boston college is good too < 33.,0.0,0.367,0.633,0.4404
13430,13431,i love seattle..,0.0,0.808,0.192,0.6369
13431,13432,Harvard Square is a beautiful sight when the women start putting on their warm-weather clothes..,0.0,0.231,0.769,0.5994
13432,13433,"London yesterday kinda sucked tbh, well, the Houses of Parliament did anyway.",0.186,0.126,0.688,-0.2193
13433,13434,I miss London...,0.615,0.0,0.385,-0.1531
13434,13435,I love UCLA but miss everyone from back home.,0.181,0.248,0.571,0.1779
13435,13436,I hate the Lakers...,0.649,0.0,0.351,-0.5719
13436,13437,I hate Tom Cruise..,0.649,0.0,0.351,-0.5719
13437,13438,But I miss Boston.,0.444,0.0,0.556,-0.1531
13438,13439,I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!,0.274,0.0,0.726,-0.7526
13439,13440,i love seattle so much.,0.0,0.583,0.417,0.6369
13440,13441,"I miss Boston so much it hurts sometimes, but I know that I'm really just missing this time of my life and the people from it...",0.242,0.0,0.758,-0.6907
13441,13442,it was even better when this ghetto kid pulls up with rap music blaring in his crappy toyota.,0.16,0.129,0.711,-0.1779
13442,13443,LOVE STORY IN HARVARD 23.5 % vs Pinoy Dream Academy 14.6 % ( at nanatiling bangungot! ).,0.0,0.376,0.624,0.8034
13443,13444,"Honda is excellent,'94 and up.",0.0,0.0,1.0,0.0
13444,13445,This superb View London Christmas gift basket is...,0.0,0.538,0.462,0.7906
13445,13446,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",0.0,0.208,0.792,0.6659
13446,13447,seattle sucks!!!...,0.0,0.0,1.0,0.0
13447,13448,i love shanghai too =).,0.0,0.583,0.417,0.6369
13448,13449,"Along the sides of exit fly-over there were parallel parking spots for "" attractive cars only "" â€” the sign listed several criteria of which my crappy Honda qualified for none.",0.107,0.087,0.806,-0.1779
13449,13450,i really like purdue...,0.0,0.583,0.417,0.4201
13450,13451,"Previously, I have installed Windoze just so I can show my PC faithful friends how awesome MacBook Pro is.",0.0,0.419,0.581,0.8779
13451,13452,"I used to like the Dallas Mavericks, starting from the days of the Three Js;",0.0,0.161,0.839,0.3612
13452,13453,And Tom Cruise is beautiful....,0.0,0.0,1.0,0.0
13453,13454,"Information specifically related to angelina jolie free sex movie can be difficult to find, but not when I hit this site-thanks.",0.08,0.098,0.822,0.1027
13454,13455,I detest the homeless population of San Francisco.,0.0,0.0,1.0,0.0
13455,13456,I absolutely love my MacBook Pro.,0.0,0.529,0.471,0.6697
13456,13457,That's why I most love the Harvard story:,0.0,0.428,0.572,0.6697
13457,13458,File this under: San Francisco sucks..,0.0,0.0,1.0,0.0
13458,13459,"As much as I admire Hillary Clinton, I don't think that the party should nominate her.",0.0,0.326,0.674,0.7003
13459,13460,I'd love a Toyota van..,0.0,0.583,0.417,0.6369
13460,13461,then again i hate tom cruise..,0.481,0.0,0.519,-0.5719
13461,13462,"and kobe isnt going to average 50 prob more like 26 and a couple more assists, but lakers are still going to suck: ) and dude john mayer continum rocks so much.",0.114,0.056,0.83,-0.4503
13462,13463,There is a Taste of China right by GEICO that has great food.,0.0,0.272,0.728,0.6249
13463,13464,Love my Lakers..,0.0,0.677,0.323,0.6369
13464,13465,I love Angelina Jolie.,0.0,0.677,0.323,0.6369
13465,13466,Boston's been awesome.,0.0,0.672,0.328,0.6249
13466,13467,I miss London...,0.615,0.0,0.385,-0.1531
13467,13468,"By the way, I hate LONDON...",0.481,0.0,0.519,-0.5719
13468,13469,"I'm biased, I love Angelina Jolie..",0.226,0.452,0.323,0.4767
13469,13470,I've prayed and been praying that God bless the UCLA Taekwondo program and let me do His work through it.,0.0,0.303,0.697,0.7506
13470,13471,I might have the wrong impression of MIT.,0.31,0.19,0.5,-0.296
13471,13472,You are a fucking bitch and I think I may hate you even more than I hate Paris Hilton...,0.489,0.0,0.511,-0.9099
13472,13473,"San Francisco was brilliant, Sausalito...",0.0,0.487,0.513,0.5859
13473,13474,"I'll write, closer to 2008, why Hillary Clinton would be a god-awful-Jon-WILL-move-from-the-country-to-ensure-his-freedom choice as the democratic nominee for president.",0.0,0.0,1.0,0.0
13474,13475,Boston's been awesome.,0.0,0.672,0.328,0.6249
13475,13476,AH SHIITE I LOST FIFTY CENTS TO THE SUPERBOWL { I HATE YOU SEATTLE!!! }...,0.455,0.0,0.545,-0.8534
13476,13477,I guess I'm not the only one that feels that Boston sucks joy out of normal people's lives...,0.117,0.178,0.704,0.3182
13477,13478,All san Francisco has are shitty little old apts in this price range...,0.231,0.0,0.769,-0.5574
13478,13479,I needed San Francisco but not until a month ago.,0.0,0.0,1.0,0.0
13479,13480,"Lol the other day this super ugly fat girl who i have never even talked to before said i looked like a paris hilton wanna-be, i was like wow thanks i love paris hilton!",0.069,0.493,0.438,0.9653
13480,13481,we have a boring as shit blue 2005 toyota carolla.,0.457,0.0,0.543,-0.7096
13481,13482,london sucks....,0.0,0.0,1.0,0.0
13482,13483,"Lol the other day this super ugly fat girl who i have never even talked to before said i looked like a paris hilton wanna-be, i was like wow thanks i love paris hilton!",0.069,0.493,0.438,0.9653
13483,13484,"San Francisco was brilliant, Sausalito...",0.0,0.487,0.513,0.5859
13484,13485,I have loved Tom Cruise since Risky Business...,0.168,0.364,0.467,0.4767
13485,13486,I hate Toyota Camrys!..,0.666,0.0,0.334,-0.6114
13486,13487,"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it.",0.0,0.356,0.644,0.8519
13487,13488,I'm still not sure if I like London.,0.449,0.0,0.551,-0.4717
13488,13489,i love in seattle..,0.0,0.677,0.323,0.6369
13489,13490,I think it's pretty clear Angelina Jolie is an ignorant racist.,0.341,0.324,0.335,-0.0772
13490,13491,Boston can suck my fucking tits...,0.367,0.0,0.633,-0.4404
13491,13492,"Man i love the lakers, shaq is a lazy fat ass.",0.37,0.259,0.37,-0.2023
13492,13493,I fucking HATE Capital One.,0.612,0.0,0.388,-0.6933
13493,13494,"well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger..",0.315,0.073,0.612,-0.7311
13494,13495,"Conclusions: High heels are good, San Francisco is beautiful...",0.0,0.266,0.734,0.4404
13495,13496,"I should remind that self that my boring green'96 Toyota Camry has 230k on the odometer, hasn't been to get a tune-up in over a year -- poor thing;",0.184,0.0,0.816,-0.6597
13496,13497,I love Tom Cruise!,0.0,0.692,0.308,0.6696
13497,13498,i Love ucla..,0.0,0.808,0.192,0.6369
13498,13499,"San Francisco is great for that, too.",0.0,0.406,0.594,0.6249
13499,13500,"i think if i hate boston, ill just disappear to california for the summers...",0.483,0.0,0.517,-0.8126
13500,13501,So now I hate AAA..,0.57,0.0,0.43,-0.6096
13501,13502,"although angelina jolie is beautiful, in real life of course..",0.0,0.302,0.698,0.5994
13502,13503,"Set in London's delightful canal district Little Venice, The Colonnade Hotel is.....",0.0,0.257,0.743,0.5859
13503,13504,I still like Tom Cruise.,0.0,0.455,0.545,0.3612
13504,13505,"I LOVE San Francisco, it is one of my favorite cities.",0.0,0.498,0.502,0.8374
13505,13506,"Paris Hilton â€“ Sexy, relevant to a different kind of Bar...",0.0,0.274,0.726,0.5267
13506,13507,I also love Boston Legal...,0.0,0.583,0.417,0.6369
13507,13508,"Since then, 25 automakers including Toyota Motor Corp. and Honda Motor Co. have recalled about 370,000 defective vehicles, according to the agency.",0.121,0.0,0.879,-0.4404
13508,13509,& i adore my little honda < 3.,0.0,0.474,0.526,0.5574
13509,13510,"He says that my other job, the one that says I'm supposed to protect Earth and monitor organizations like the London Necromantic Circle and the stupid Core Construction assholes, hasn't been getting done...",0.174,0.123,0.702,-0.4767
13510,13511,"It's about the MacBook Pro, which is awesome and I want one, but I have my beloved iBook, and believe you me, I love it..",0.0,0.437,0.563,0.9319
13511,13512,Seattle sucks in bumper to bumper if you're on a hill with a stick shift.,0.172,0.0,0.828,-0.3612
13512,13513,stupid UCLA..,0.773,0.0,0.227,-0.5267
13513,13514,Three days at Purdue with three awesome people.,0.0,0.369,0.631,0.6249
13514,13515,i'm currently watching love at harvard on youtube(,0.0,0.375,0.625,0.6369
13515,13516,"Apparently, MIT and Olin are awesome.",0.0,0.451,0.549,0.6249
13516,13517,I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.,0.0,0.119,0.881,0.5994
13517,13518,"i posted a bulletin on myspace & there was this one guy who responded & was like "" lakers suck.",0.158,0.136,0.707,-0.1027
13518,13519,Seattle sucks in bumper to bumper if you're on a hill with a stick shift.,0.172,0.0,0.828,-0.3612
13519,13520,"Along the sides of exit fly-over there were parallel parking spots for "" attractive cars only "" â€” the sign listed several criteria of which my crappy Honda qualified for none.",0.107,0.087,0.806,-0.1779
13520,13521,the beautiful Harvard grad â€”..,0.0,0.494,0.506,0.5994
13521,13522,"It seems to me, especially in recent episodes, that your character parallels Hillary Clinton in some respects...",0.0,0.0,1.0,0.0
13522,13523,THIS SONG SUCKSSSSSSS i hate paris hilton.....,0.425,0.0,0.575,-0.5719
13523,13524,I love Purdue Cal.,0.0,0.677,0.323,0.6369
13524,13525,PARIS HILTON SUCKS!,0.583,0.0,0.417,-0.4199
13525,13526,i miss AAA...,0.615,0.0,0.385,-0.1531
13526,13527,"On a lighter note, I love my macbook.",0.0,0.457,0.543,0.6369
13527,13528,We went to Boston Pizza which was really good.,0.0,0.285,0.715,0.4927
13528,13529,stupid lakers!!!!!!!!!!!,0.82,0.0,0.18,-0.6776
13529,13530,I hate London...,0.787,0.0,0.213,-0.5719
13530,13531,"well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger..",0.315,0.073,0.612,-0.7311
13531,13532,I loved Boston and MIT so much and still do.,0.0,0.328,0.672,0.5994
13532,13533,I would love to go Shanghai with sister..,0.0,0.412,0.588,0.6369
13533,13534,so i really love UCLA..,0.0,0.614,0.386,0.6976
13534,13535,I would love to go Shanghai with sister..,0.0,0.412,0.588,0.6369
13535,13536,I'm beginning to really distrust Toyota dealerships.,0.34,0.0,0.66,-0.4754
13536,13537,Seattle sucks!!,0.755,0.0,0.245,-0.4738
13537,13538,I LOVE AAA!.,0.0,0.818,0.182,0.6696
13538,13539,but the engine i like toyota....,0.0,0.448,0.552,0.5023
13539,13540,"stupid Longo Toyota, told me it was coming in today....",0.274,0.0,0.726,-0.5267
13540,13541,and honda elements are assholes...,0.0,0.0,1.0,0.0
13541,13542,ucla sucks.,0.714,0.0,0.286,-0.3612
13542,13543,i love shanghai too =).,0.0,0.583,0.417,0.6369
13543,13544,"However, I really like the Volkswagen Beetle, but the Chevy Aveo has four doors and better gas mileage.",0.0,0.277,0.723,0.6953
13544,13545,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",0.0,0.208,0.792,0.6659
13545,13546,PARIS HILTON SUCKS!,0.583,0.0,0.417,-0.4199
13546,13547,UCLA SUCKS!!!! > > > UCLA SUCKS!!!!!.,0.0,0.0,1.0,0.0
13547,13548,The many prejudices that I will face being in the San Francisco Region are going to be difficult.,0.261,0.0,0.739,-0.6486
13548,13549,"anyway, shanghai is really beautiful ï¼Œ æ»¨æ±Ÿå¤§é“æ˜¯å¾ˆçµçš„å•¦ ï¼Œ é‚£ä¸ªstarbucksæ˜¯ä¸Šæµ·é£Žæ™¯æœ€å¥½çš„starbucks ~ ~!!!",0.0,0.36,0.64,0.7243
13549,13550,"She also said she didnt miss her Thanksgiving because Geico was so great and he goes "" MASHED POTATOES AND CRANBERRY SAUCE!!!!",0.0,0.292,0.708,0.834
13550,13551,UCLA is beautiful.,0.0,0.661,0.339,0.5994
13551,13552,london sucks....,0.0,0.0,1.0,0.0
13552,13553,"stupid, stupid UCLA..",0.872,0.0,0.128,-0.7783
13553,13554,"I still love the Lakers best, though!)..",0.0,0.685,0.315,0.8655
13554,13555,"Boston Gal arrived last night and it was great to stay up and catch up with her, but the Hub and I are definitely feeling the effects today...",0.0,0.246,0.754,0.7814
13555,13556,"I do know that as much as I loved San Francisco ( I did, I truly did ) I sometimes felt struck, wounded even, by the impersonality that peoples its streets...",0.067,0.228,0.705,0.7003
13556,13557,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",0.0,0.208,0.792,0.6659
13557,13558,"As much as I said I hate UCLA, I think I'm finally finally learning to love it.",0.186,0.211,0.603,0.128
13558,13559,Stupid UCLA.,0.773,0.0,0.227,-0.5267
13559,13560,I love toyota I think I am going to get the truck just not 100 % sure yet.,0.108,0.231,0.661,0.5003
13560,13561,", Boston is great...",0.0,0.0,1.0,0.0
13561,13562,"Today, I remembered how particularly sad it is that the details of Angelina Jolie's pregnancy, or Jennifer Aniston's latest living arrangement must be screamed out at hapless grocery shoppers the world over.",0.224,0.0,0.776,-0.796
13562,13563,The only awesome thing about Purdue is that they have a kick ass gym.:),0.188,0.22,0.591,0.1531
13563,13564,i love my macbook...,0.0,0.677,0.323,0.6369
13564,13565,"It's about the MacBook Pro, which is awesome and I want one, but I have my beloved iBook, and believe you me, I love it..",0.0,0.437,0.563,0.9319
13565,13566,"Anyway, some crappy Honda, but, as is young peoples'customs, it has a good $ 2 million worth of sound equipment inside.",0.098,0.264,0.638,0.5994
13566,13567,i do i love angelina jolie!..,0.0,0.6,0.4,0.6696
13567,13568,I really hate Tom Cruise.,0.571,0.0,0.429,-0.6115
13568,13569,and I HATE San Francisco.,0.596,0.0,0.404,-0.6633
13569,13570,"usually, i can't at my house but i'm at the library but i moved into my aunts house in san carlos to go to school here because schools in san francisco sucks BIG TIME!",0.103,0.0,0.897,-0.5487
13570,13571,i love my new Macbook..,0.0,0.583,0.417,0.6369
13571,13572,"either or, not too big though, I think Angelina Jolie's are unattractive.",0.225,0.0,0.775,-0.4404
13572,13573,I think at this moment i love San Francisco better than L. A..,0.0,0.441,0.559,0.7964
13573,13574,"I miss London, but I haven't lived there yet...",0.178,0.0,0.822,-0.0772
13574,13575,I love the lakers even tho Trav makes fun of me.,0.0,0.484,0.516,0.8176
13575,13576,"i look across my beautiful boston, and something inside me is taken aback, struck with such force that i lose my breathe for a second...",0.17,0.141,0.688,0.0516
13576,13577,"By the way, I hate LONDON...",0.481,0.0,0.519,-0.5719
13577,13578,Which makes me think I need AAA more than AA...,0.0,0.0,1.0,0.0
13578,13579,Stupid UCLA....,0.773,0.0,0.227,-0.5267
13579,13580,"I can only imagine, with the bloated egos and arrogant liberalism at Harvard, this effect was magnified...",0.176,0.0,0.824,-0.4939
13580,13581,I'd love a Toyota van..,0.0,0.583,0.417,0.6369
13581,13582,I hate Paris Hilton..... ( sorry John )...,0.556,0.0,0.444,-0.6124
13582,13583,Cs: I've heard San Francisco is beautiful..,0.0,0.0,1.0,0.0
13583,13584,I hate UCLA.,0.787,0.0,0.213,-0.5719
13584,13585,"Angelina Jolie says that being self-destructive is selfish and you ought to think of the poor, starving, mutilated people all around the world.",0.31,0.0,0.69,-0.8402
13585,13586,"When Emmy was in town, I told her ( in a moment of pure physical pain as we hiked up to the Lombard / Leavenworth intersection ) that San Francisco is always halfway between fantastic and miserable.",0.166,0.092,0.742,-0.4404
13586,13587,"I hate Tom Cruise, but I liked the idea I was passing by somebody famous...",0.146,0.231,0.623,0.3291
13587,13588,"Well apparently all people driving toyota 4runners are appalingly ugly, or so one would think based on him not even glancing in my direction!",0.13,0.076,0.794,-0.3595
13588,13589,I like Purdue University's computer lab!..,0.0,0.411,0.589,0.4199
13589,13590,tom cruise sucks.,0.556,0.0,0.444,-0.3612
13590,13591,"Though I want a Vios / Honda Jazz badly, I think I'll be fine in a 2nd hand Myvi or Waja or Gen 2 or anything decent.",0.117,0.239,0.644,0.296
13591,13592,stupid UCLA..,0.773,0.0,0.227,-0.5267
13592,13593,mostly these stupid guys with their shitty honda civics trying to sup them up like they are badass.,0.343,0.1,0.558,-0.7269
13593,13594,i love shanghai too =).,0.0,0.583,0.417,0.6369
13594,13595,"i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs...",0.0,0.258,0.742,0.8402
13595,13596,"She also said she didnt miss her Thanksgiving because Geico was so great and he goes "" MASHED POTATOES AND CRANBERRY SAUCE!!!!",0.0,0.292,0.708,0.834
13596,13597,Boston SUCKS.,0.764,0.0,0.236,-0.4995
13597,13598,I HATE LONDON!..,0.8,0.0,0.2,-0.6114
13598,13599,i love my new Macbook..,0.0,0.583,0.417,0.6369
13599,13600,"I love Angelina Jolie and i love you even more, also your music on your site is my fav.",0.0,0.449,0.551,0.9081
13600,13601,stupid AAA.,0.773,0.0,0.227,-0.5267
13601,13602,PURDUE FUCKIN ROCKS!!!,0.0,0.0,1.0,0.0
13602,13603,"As much as I love the Lakers and Kobe, I still have to state the facts...",0.0,0.244,0.756,0.6369
13603,13604,lakers suck!,0.761,0.0,0.239,-0.4926
13604,13605,"i hate 3 paris hilton, halary duff, lindsay lohan.",0.381,0.0,0.619,-0.5719
13605,13606,tom cruise sucks.,0.556,0.0,0.444,-0.3612
13606,13607,It seems to me that everything I want is in Seattle.,0.0,0.126,0.874,0.0772
13607,13608,"It's fun to drive and has about 110,000 less miles than the Honda did and is in good shape.",0.0,0.267,0.733,0.7351
13608,13609,"Apparently, MIT and Olin are awesome.",0.0,0.451,0.549,0.6249
13609,13610,I also like Boston.,0.0,0.556,0.444,0.3612
13610,13611,Harvard Square is a beautiful sight when the women start putting on their warm-weather clothes..,0.0,0.231,0.769,0.5994
13611,13612,i love our trips out to london pissed out of our faces on shitty booze...,0.339,0.183,0.478,-0.5574
13612,13613,I still like Tom Cruise.,0.0,0.455,0.545,0.3612
13613,13614,I know you're way too smart and way too cool to let stupid UCLA get to you...,0.159,0.234,0.607,0.1531
13614,13615,"yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks...",0.0,0.091,0.909,0.296
13615,13616,I have loved Tom Cruise since Risky Business...,0.168,0.364,0.467,0.4767
13616,13617,purdue is gonna be awesome..,0.0,0.0,1.0,0.0
13617,13618,that honda looks pretty awesome...,0.0,0.444,0.556,0.4939
13618,13619,i'm currently watching love at harvard on youtube(,0.0,0.375,0.625,0.6369
13619,13620,You are a fucking bitch and I think I may hate you even more than I hate Paris Hilton...,0.489,0.0,0.511,-0.9099
13620,13621,"v. s. what should be a AAA team right now 10 % of this weekend has been so awesome,.. that I dont even mind working the other 102 % of it.....",0.0,0.0,1.0,0.0
13621,13622,the beautiful Harvard grad â€”..,0.0,0.494,0.506,0.5994
13622,13623,GEICO is a GREAT ride.,0.0,0.617,0.383,0.7034
13623,13624,"Set in London's delightful canal district Little Venice, The Colonnade Hotel is.....",0.0,0.257,0.743,0.5859
13624,13625,"And I despise the fact that Paris Hilton actually likes this designer, but I found a random link to them somewhere a little while ago...",0.075,0.084,0.841,0.0516
13625,13626,I'm loving Shanghai > > > ^ _ ^.,0.0,0.565,0.435,0.5994
13626,13627,San Francisco prohibits kerchoo powders and stink balls...,0.278,0.0,0.722,-0.4019
13627,13628,I love Angelina Jolie.,0.0,0.677,0.323,0.6369
13628,13629,I love UCLA so much I had to make an icon to show it.,0.0,0.276,0.724,0.6369
13629,13630,"I like Tom Cruise, as I've stated over and over.",0.0,0.238,0.762,0.3612
13630,13631,I loathe having to quote Paris Hilton..,0.39,0.0,0.61,-0.4939
13631,13632,"Quick Tom, Break your laptop again and demand one of those sexy new Core2Duo Macbook Pros they just annouced!",0.068,0.166,0.766,0.4926
13632,13633,Then we had stupid trivia about San Francisco and sci fi tv so we left...,0.195,0.0,0.805,-0.5267
13633,13634,san francisco was great.,0.0,0.577,0.423,0.6249
13634,13635,i hate purdue.,0.787,0.0,0.213,-0.5719
13635,13636,i'm currently watching love at harvard on youtube(,0.0,0.375,0.625,0.6369
13636,13637,I like honda civics!!!!!!.,0.0,0.647,0.353,0.5673
13637,13638,"I definitely slept in my coat, but I slept really comfortably, because I had my awesome purdue blanket my mommy made me, and my own pillow.....",0.0,0.368,0.632,0.9125
13638,13639,I hate Tom Cruise.,0.649,0.0,0.351,-0.5719
13639,13640,i have now officially joined the'I hate Toyota'movement...,0.381,0.0,0.619,-0.5719
13640,13641,"i got like 9 AAA's during the course of the tournament, ive never been that consistent in a tournament before.",0.0,0.135,0.865,0.3612
13641,13642,"Angelina Jolie says that being self-destructive is selfish and you ought to think of the poor, starving, mutilated people all around the world.",0.31,0.0,0.69,-0.8402
13642,13643,For those who say he doesn't deserve it cuz the Lakers stink and are barely over.,0.153,0.0,0.847,-0.4019
13643,13644,"either or, not too big though, I think Angelina Jolie's are unattractive.",0.225,0.0,0.775,-0.4404
13644,13645,Now I'm walking around looking like the ugliest person in the world angelina jolie!!!!!!!,0.255,0.128,0.616,-0.5374
13645,13646,And as we know i abhor tom cruise in general so i wouldn't buy into the bullshit anyway.,0.327,0.0,0.673,-0.7783
13646,13647,"Top-Blogs, die mit sinister & # 252;",0.722,0.0,0.278,-0.8316
13647,13648,I HATE GEICO and SINES BODY SHOP!!!!!.,0.528,0.0,0.472,-0.765
13648,13649,Boston's been awesome.,0.0,0.672,0.328,0.6249
13649,13650,"I should remind that self that my boring green'96 Toyota Camry has 230k on the odometer, hasn't been to get a tune-up in over a year -- poor thing;",0.184,0.0,0.816,-0.6597
13650,13651,I so want a MacBook.,0.0,0.443,0.557,0.1513
13651,13652,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..,0.187,0.487,0.326,0.811
13652,13653,Shanghai is also very beautiful(,0.0,0.0,1.0,0.0
13653,13654,"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",0.0,0.296,0.704,0.743
13654,13655,""" I LOVE SHANGHAI VERY MUCH!",0.0,0.6,0.4,0.6696
13655,13656,"My upbringing suggests "" used "" but the Honda Fit and Toyota Yaris are looking pretty exciting or as David would say "" Hot "" or "" Fetch.",0.0,0.372,0.628,0.9161
13656,13657,p. s. i think Angelina Jolie is incredibly beautiful.,0.0,0.375,0.625,0.6361
13657,13658,I love Harvard Square in the fall.,0.0,0.457,0.543,0.6369
13658,13659,"I like being at Purdue, not with my family.",0.0,0.263,0.737,0.3612
13659,13660,what raven forgot to explain is why the lakers suck.,0.244,0.0,0.756,-0.4404
13660,13661,"I fucking hate Tom Cruise, that psychotic, overrated actor.",0.363,0.0,0.637,-0.6115
13661,13662,I know London traffic is horrendous but..,0.432,0.0,0.568,-0.5859
13662,13663,I LOVE my Honda!.,0.0,0.723,0.277,0.7371
13663,13664,I love my 13 year old Toyota!..,0.0,0.473,0.527,0.6696
13664,13665,I love Angelina Jolie.,0.0,0.677,0.323,0.6369
13665,13666,"I love London and its history-even if I'm glad I didn't have to live through most of it, like the big fire and the Blitz.....",0.077,0.318,0.606,0.8207
13666,13667,Still love MIT.,0.0,0.677,0.323,0.6369
13667,13668,"I like being at Purdue, not with my family.",0.0,0.263,0.737,0.3612
13668,13669,"Hey Kira Â  Â  i think ur page totally rocksand i hate Paris Hilton,...",0.266,0.0,0.734,-0.6096
13669,13670,"The citizens and government of San Francisco are still stupid, but at least they can legally defend themselves...",0.111,0.081,0.808,-0.1531
13670,13671,"As most of you know I love my little toyota corolla, well I just got a ton of thoughts racing through my mind.",0.0,0.251,0.749,0.7216
13671,13672,"When Stone was asked for suggestions for the additional scenes she said, "" I think Hillary Clinton is fantastic.",0.0,0.184,0.816,0.5574
13672,13673,Seattle sucks!!,0.755,0.0,0.245,-0.4738
13673,13674,I like honda civics!!!!!!.,0.0,0.647,0.353,0.5673
13674,13675,I detest the homeless population of San Francisco.,0.0,0.0,1.0,0.0
13675,13676,That's why I most love the Harvard story:,0.0,0.428,0.572,0.6697
13676,13677,"lost a friend recently, Chris Handy, it isnt going to be the same without seeing him tooling around clinton in crappy Honda, with a header..(",0.203,0.11,0.687,-0.4019
13677,13678,"Powered by a Toyota-tuned version of Holden's abysmal Starfire four, the XT130 Corona was a cynical, superficial, poorly conceived mess.",0.242,0.0,0.758,-0.6249
13678,13679,"This one is pretending to be a reaction to Kelo v. New London, which was admittedly a stupid ruling.",0.172,0.071,0.758,-0.4588
13679,13680,"Wow, having XP on my MacBook would be awesome...",0.0,0.505,0.495,0.7983
13680,13681,Have I told you I hate Tom Cruise?..,0.425,0.0,0.575,-0.5719
13681,13682,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
13682,13683,I love Boston too!,0.0,0.692,0.308,0.6696
13683,13684,"Wow, having XP on my MacBook would be awesome...",0.0,0.505,0.495,0.7983
13684,13685,"Personally, I blame Angelina Jolie, a psychologically-damaged attention-seeker who seems to have somehow convinced almost every woman on LJ that having an icon with her face on it makes you a sexually-interesting noncomformist wildchild.",0.07,0.079,0.85,0.0772
13685,13686,BOSTON IS ABSOLUTELY AMAZING..,0.0,0.0,1.0,0.0
13686,13687,angelina jolie is so beautiful that i don't even have the desire to attain such exquisite beauty..,0.0,0.355,0.645,0.8267
13687,13688,Awesome diner here @ Purdue...,0.0,0.577,0.423,0.6249
13688,13689,not only do i hate paris hilton for....,0.0,0.333,0.667,0.4585
13689,13690,Seattle sucks......,0.0,0.0,1.0,0.0
13690,13691,"Thank you, and may God bless the New York Knicks.",0.0,0.514,0.486,0.7506
13691,13692,"It's about the MacBook Pro, which is awesome and I want one, but I have my beloved iBook, and believe you me, I love it..",0.0,0.437,0.563,0.9319
13692,13693,", Boston is great...",0.0,0.0,1.0,0.0
13693,13694,boston is great: ).,0.0,0.577,0.423,0.6249
13694,13695,and i blame angelina jolie!,0.473,0.0,0.527,-0.4003
13695,13696,i love you my harvard boy..(,0.0,0.512,0.488,0.6369
13696,13697,"Along the sides of exit fly-over there were parallel parking spots for "" attractive cars only "" â€” the sign listed several criteria of which my crappy Honda qualified for none.",0.107,0.087,0.806,-0.1779
13697,13698,Love Story At Harvard [ awesome drama!,0.0,0.682,0.318,0.8622
13698,13699,I WANT MIT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!..,0.0,0.712,0.288,0.3544
13699,13700,I have no issues with a woman as my President and I'd like to see Hillary Clinton take over the seat of President.,0.093,0.105,0.802,0.0772
13700,13701,I hate London!!!!!!!,0.83,0.0,0.17,-0.7067
13701,13702,i bet i am the first person ever to comment on your site from london-stinking-england!,0.0,0.0,1.0,0.0
13702,13703,the stupid honda lol or a BUG!..,0.352,0.267,0.381,-0.2244
13703,13704,"Geico would be great, and I really hope that works out.",0.0,0.477,0.523,0.807
13704,13705,Harvard Square is a beautiful sight when the women start putting on their warm-weather clothes..,0.0,0.231,0.769,0.5994
13705,13706,I love Harvard and MIT.,0.0,0.583,0.417,0.6369
13706,13707,I would love to go Shanghai with sister..,0.0,0.412,0.588,0.6369
13707,13708,I love Harvard guys...,0.0,0.677,0.323,0.6369
13708,13709,"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it.",0.0,0.356,0.644,0.8519
13709,13710,"I mean, we knew Harvard was dumb anyway -- right, B-girls? -- but this is further proof)...",0.125,0.0,0.875,-0.2846
13710,13711,I liked Tom Cruise until he dumped Nicole Kidman.,0.235,0.243,0.522,0.0258
13711,13712,BOSTON SUCKS!!!,0.771,0.0,0.229,-0.5229
13712,13713,I think at this moment i love San Francisco better than L. A..,0.0,0.441,0.559,0.7964
13713,13714,ucla sucks!,0.736,0.0,0.264,-0.4199
13714,13715,"Prolly going to Cambridge on Tuesday, I need to see MIT to survive till the rest of the term.",0.0,0.0,1.0,0.0
